No,Ulasan,Translate_Ulasan,VADER A,VADER B,MANUAL
2444,"Mohon ditingkatkan lagi performa layanan octo mobilenya, terima kasih","Please improve the performance of the Octo Mobile service, thank you",positif,positif,netral
2445,Kenapa saya tidak dapat log in padahal saya sudah benar id nya,Why can't I log in even though I have the correct ID?,netral,netral,negatif
2446,"Aplikasi eror, tidak bisa dibuka","Application error, can't be opened",negatif,negatif,negatif
2447,Good,Good,positif,positif,positif
2448,Mudah Cepat praktis,"Easy, fast, practical",positif,positif,positif
2449,Kecewa aku sebagai pengguna TF gagal ke shopeepay masa lama dibalikin ya pas lagi butuh ya itu uang di email harus nunggu sampai 10 Oktober udah 2x ini kejadian gini,"Disappointed as a TF user, I failed to go to Shopeepay, it took a long time to return it, when I needed it again, the money in the email had to wait until October 10, this has happened twice",negatif,netral,negatif
2450,Mantap,Great,positif,positif,positif
2451,Semoga tambah sukses . Lebih baik lagi . .,Good luck . Even better . .,positif,positif,positif
2452,"Bagaimana si ini Octo, masa transfer ke rekening si penerima ga masuk-masuk si padahal no rekening si penerima udh bener,apa emng begini ya ga langsung smpe.. Bru kali ini transfer pke aplikasi mobile kualitas nya agk susah... Mohon kejelasan nya dong.....","How is this Octo, when the transfer to the recipient's account doesn't go through even though the recipient's account number is correct, is it really like this, it doesn't arrive straight away... Bruh, this time the transfer using the mobile application, the quality is a bit difficult... Please clarify. dong.....",positif,netral,negatif
2453,"Kecewa banget masa dari tadi saya mau masuk tapi gagal mulu, padahal saya sudah ikutin petunjuknya","I was really disappointed when I wanted to go in but failed, even though I had followed the instructions",negatif,netral,negatif
2454,Apl bagus,Nice app,positif,positif,positif
2455,Cukup baik,Pretty good,positif,positif,positif
2456,Mau di upgrade kayak apapun tetep loading ngelag ðŸ¤£,"If you want to upgrade like anything, it keeps loading slowly 🤣",positif,netral,negatif
2457,Aman dan praktis,Safe and practical,positif,positif,positif
2458,"Baru pertama pake kan ya, di bikinin Ama perusahaan kan ya, di suruh ganti pin, ok tak ganti ehh gak bisa pake pin yang biasa aku pake alhasil ya udah pake nomor kesukaan aja, pas mau transfer di suruh masukin salah satu angka yang ada di pin, sini klik udah bener malah tetep aja gak bisa masuk sampe ngulang 3 kali akhirnya malah id aku ke blokir, yang harusnya mempermudah malah mempersulit ini mah namanya, lain kali bisa lah pake yang biasa di pake Ama orang mungkin ultah kek apa gitu pin nya","This is the first time I'm using it, it was made by the company, right? I was told to change the PIN, OK, I didn't change it, but I couldn't use the PIN I usually use, so I just used my favorite number, when I wanted to transfer, I was told to enter one of the numbers on it. Pin, click here, it's correct, but I still can't log in until I repeat 3 times, finally my ID is blocked, what should make it easier actually makes this more difficult, next time I can use the one I usually use. Ama, maybe it's my birthday, what's the pin like?",positif,netral,negatif
2459,Memudahkan transaksi di mana pun dan kapan pun,Make transactions easy anywhere and anytime,positif,positif,positif
2460,Aku mendapatkan kemudahan todak ribet jika lupa password,I get convenience without hassle if I forget the password,positif,netral,positif
2461,tlg di perbaiki masa gak bisa masuk saya sdh 2 minggu ini.. tlg di update ulang pembaruannya,"Please fix it, I can't log in for 2 weeks now... Please update again",positif,netral,negatif
2462,Mudah dan aman..,Easy and safe..,positif,positif,positif
2463,Lemot,Slow,netral,netral,negatif
2464,Mudah,Easy,positif,positif,positif
2465,kok jadi gini octo mobile nya....mlah gabisa login dan buat tf pun gabisa..doperbaiki cimb niaga,How come the Octo Mobile is like this....I can't even log in and can't even make a TF...Cimb Niaga fix it,positif,netral,negatif
2466,gak lagi2 pake apk in masak ggal transfer tap uang jga gk di kembalikan. uang sdikit aj di tilep aplagi klo bnyak... udah kapok guwa,"If you don't use this apk, the transfer will fail but the money won't be returned. Even if you throw away a little money, especially if it's a lot... I'm already fed up",negatif,netral,negatif
2467,Bagus utk aplikasi keuangan,Great for financial applications,positif,positif,positif
2468,So far pakai octo mobile baik baik saja ngk ada masalah.,"So far using Octo Mobile is fine, no problems.",negatif,netral,positif
2469,"Alhamdulillah Ya Allah, berguna banget. Terima kasih.","Alhamdulillah Ya Allah, very useful. Thank you.",positif,positif,positif
2470,Masih banyak bug,Still lots of bugs,netral,netral,negatif
2471,semenjak di perbarui xiaomi not 9 pro tidak bisa di akses aplikasi cimb niaga mobile bangking anehh,"Since updating the Xiaomi Not 9 Pro, I can't access the CIMB Niaga Mobile Bangking application, which is strange",negatif,netral,negatif
2472,fast respon,fast respon,netral,netral,positif
2473,"Mempermudah pengguna, Mantapp","Makes it easier for users, Great app",positif,positif,positif
2474,Sangat mudah dan simpel saat digunakan,Very easy and simple to use,positif,positif,positif
2475,"Kok ga masuk2 otp passcode nya sih, sampe sampe dilimit ga bisa login","Why can't I enter the OTP passcode, until I get to the limit I can't log in",netral,netral,negatif
2476,"Setelah bbrp hari lalu update, bisa buat transfer dll Hari ini mau transfer eh ndak bisa Selalu keluar notifikasi null Gimana ini.....hrs mengadu kemn","After a few days of updating, I was able to make transfers, etc. Today I wanted to transfer but I couldn't. Null notifications always come up. What's this......have to complain now",negatif,netral,negatif
2477,"Kartu kredit pengganti saya gak masuk di octo mobile, gimana ini? Padahal masih ada outstanding ðŸ˜Œ","My replacement credit card doesn't appear on Octo Mobile, what do I do? Even though there is still outstanding 😌",positif,netral,negatif
2478,Aplikasi sering force close di handphone xiaomi redmi note 10 pro,Applications often force close on the Xiaomi Redmi Note 10 Pro cellphone,netral,netral,negatif
2479,"hp support sinyal bagus aplikasi nya emang agak aneh, respon nya kurang sekali, sering ""tidak dapat terhubung"" kecewa sih , semoga kedepannya segera diperbaiki","The cellphone supports a good signal, the application is a bit strange, the response is very poor, often ""can't connect"" I'm disappointed, hopefully in the future it will be fixed soon",positif,netral,negatif
2480,Saya barusan transaksi nominal 3 juta keterangan berhasil saya ngirim ke BCA tapi cek saldo tidak ada saldo saya kepotong,"I just made a transaction with a nominal value of 3 million. I sent the information successfully to BCA, but checking the balance, there was no balance, my balance was deducted",netral,netral,positif
2481,Mantap trsksi lancar jaya,"Good job, good luck",positif,positif,positif
2482,Bapuuuk euy .... Setiap mau buka mbanking selalu kembali lagi... percuma bgt download ...,Hey sir... Every time you want to open m banking it always comes back... it's really free to download...,positif,netral,negatif
2483,Terimakasih akhirnya bak virusnya sudah teratasi,"Thank you, finally the virus has been resolved",positif,positif,positif
2484,"Saya tidak bisa masuk apk pdahal jaringan stabil sudah hapus chace sudah instal ulang sudah restart hp ttp g bisa masuk padahal lagi urgent banget,, tlp cs buang2 pulsa doang","I can't enter the APK even though the network is stable, I've deleted the cache, I've reinstalled, I've restarted the cellphone, but I can't enter even though it's really urgent, call CS, it's just a waste of credit.",positif,netral,negatif
2485,Kenapa abis di updet eror gak bisa buka aneh banged tolong dong ngebug mulu forsclose.,"Why after updating the error can't open it's really strange, please try bugging forsclose first.",negatif,netral,negatif
2486,Cras terus versi baru mohon update lagi,"Cras continues to be a new version, please update again",positif,netral,negatif
2487,Tolong donk jgn update terus terusan Ngeblank terus ini hp,Please don't keep updating this phone,positif,netral,netral
2488,Kirain saya saja yg mengalami susah login Octo mobile. Eh ternyata semua nasabah alasan nya kenapa yah????? Tolong kasih solusi nya,"I think I'm the only one who has difficulty logging in to Octo mobile. Eh, it turns out all the customers have reasons why????? Please give the solution",positif,netral,negatif
2489,"Aplikasinya kurang memuaskan,,, Di perbaharui bukannya tambah bagus malah tambah arah Baru login udah logout sendiri",The application is not satisfactory... It has been updated instead of making it better but adding directions. Just logging in and logging out myself,positif,netral,negatif
2490,Udah diupdate tapi tiap mau buka langsung out tanpa ada tampilan login. Tolong segera diperbaiki.,It's been updated but every time I want to open it it just exits without a login screen. Please fix it immediately.,negatif,netral,negatif
2491,Woii knapa gak bisa di buka aplikasi nya,"Wow, why can't you open the application?",positif,positif,negatif
2492,"Susah masuk aplikasinya gagal trus,,","It's hard to enter, the application keeps failing...",negatif,negatif,negatif
2493,Aplikasi cimb niaga kluar sendiri gak bisa login...ada apa ya?,"Cimb Niaga application exits by itself, can't log in...what's wrong?",positif,netral,negatif
2494,"Saya ga bisa masuk setelah update, yang bener aja lah woy","I can't log in after updating, that's true, wow",positif,positif,negatif
2495,"setiap mau membuka selalu lambat dan sulit untuk login, agak susah kalau mau transaksi. selalu login tetapi permintaan tidak dapat diproses.","Every time you want to open it, it's always slow and difficult to log in, quite difficult if you want to make a transaction. always logged in but the request cannot be processed.",negatif,netral,negatif
2496,"Bener bener menyebalkan mbanking nya.. Koneksi udah bagus , hp sampai direstart bolak balik tpi tetap tidak bisa masuk.. Malah buat log in gk mau","Banking is really annoying.. The connection is good, the cell phone has been restarted back and forth but still can't log in.. I don't even want to log in.",positif,netral,negatif
2497,Bagus dan mantap,Good and steady,positif,positif,positif
2498,Tolong di update segera.ada bug,Please update immediately. There is a bug,positif,netral,negatif
2499,Ada apa dengan Octo mobile gk bisa login,What's wrong with Octo mobile can't log in,negatif,netral,negatif
2500,Ini gimana sih ko jadi ga bisa masuk ke octo nya,What's wrong with this so it can't go into octo?,negatif,netral,negatif
2501,Habis di update malah gabisa operasional,"After updating it, it can't even operate",netral,netral,negatif
2502,ini aplikasi hbs di update tidak bisa digunakan.buat buka aplikasi lngsng keluar terus,This application has not been updated and cannot be used. To open the application directly it keeps exiting,netral,netral,negatif
2503,"ini knapa lagi si ockto mobile baru masuk ,mental lagi mental lagi","This is why Octo Mobile has just arrived, it's mental again, it's mental again",netral,netral,negatif
2504,Kenapa pada waktu darurat mau dipake transaksi malah nge lag sihhhðŸ™ˆ,"Why is it that when you want to use a transaction when you have an emergency, it actually lags🙈",negatif,netral,negatif
2505,Habis update malah gk bisa,After updating it doesn't work,netral,netral,negatif
2506,"Ini kenapa aplikasi nya ga bisa di buka, selalu force close terus? Hadehhhhh makin kesini makin aneh nih apk CIMB cacad banget. HP saya poco F5","Is this why the application can't be opened, it always keeps force closing? Hadehhhhh the more strange it gets here, the CIMB apk is really buggy. My cellphone is Poco F5",negatif,netral,negatif
